iso3,country_name_ghg,year,ghg_per_capita,region,gdp_per_capita_ppp,renewable_pct,electricity_access_pct,fossil_fuel_pct,population,ghg_total_mt
DNK,Denmark,2015,8.831057,Europe & Central Asia,48897.2099776611,32.5,100.0,64.2118546852856,5683483.0,0.050191162331530995
EST,Estonia,2015,13.6325,Europe & Central Asia,29712.6299473728,28.2,100.0,14.7458979553125,1315407.0,0.017932285927500003
FIN,Finland,2015,10.04057,Europe & Central Asia,42257.8593791297,43.2,100.0,40.2290546321528,5479531.0,0.05501761457267001
FRA,France,2015,7.074852,Europe & Central Asia,40905.1767750994,13.3,100.0,45.17655073785,66548272.0,0.47081917525574396
DEU,Germany,2015,10.98749,Europe & Central Asia,48545.400721962,14.6,100.0,79.6280369964341,81686611.0,0.89753082149639
GRC,Greece,2015,8.878441,Europe & Central Asia,26607.7256796976,17.5,100.0,83.8825769351693,10820883.0,0.096072571283403
HUN,Hungary,2015,6.342242,Europe & Central Asia,26937.7320818864,15.6,100.0,66.1101625958775,9797755.0,0.06213973326671
ISL,Iceland,2015,14.63909,Europe & Central Asia,49201.0640964553,78.0,100.0,11.6681557626704,330815.0,0.004842830558349999
IRL,Ireland,2015,12.84987,Europe & Central Asia,71588.2656638378,9.5,100.0,85.1584419832208,4701957.0,0.06041953619559
ISR,Israel,2015,10.04037,Middle East & North Africa,35870.7927156301,3.7,100.0,,8380100.0,0.08413930463699999
ITA,Italy,2015,7.306344,Europe & Central Asia,37384.3796455406,16.6,100.0,78.9818167175667,60229605.0,0.44005821311412
JPN,Japan,2015,10.23948,East Asia & Pacific,40898.80697396,6.2,100.0,93.791450810853,127141000.0,1.30185772668
KOR,Korea,2015,14.24184,East Asia & Pacific,39794.1961180043,2.7,100.0,83.7249545111828,51014947.0,0.72654671278248
LVA,Latvia,2015,5.437304,Europe & Central Asia,22543.9183164105,38.1,100.0,58.9693424720148,1977527.0,0.010752415467208
LTU,Lithuania,2015,6.762146,Europe & Central Asia,26948.5919371645,29.0,100.0,-61.3788549830684,2911109.0,0.019685344079914
LUX,Luxembourg,2015,18.14989,Europe & Central Asia,107859.685999308,9.1,100.0,80.557939565617,569604.0,0.010338249943559998
MEX,Mexico,2015,6.157423,North America,19071.4444196466,9.2,99.0,90.902229466453,121072306.0,0.7454934016274379
NLD,Netherlands,2015,11.35148,Europe & Central Asia,50956.6930942185,5.8,100.0,92.0358227419405,16939923.0,0.19229319713604
NZL,New Zealand,2015,18.05449,East Asia & Pacific,37513.2963872442,29.3,100.0,59.8676753319445,4609400.0,0.083220366206
NOR,Norway,2015,10.4499,Europe & Central Asia,60737.8868132779,56.5,100.0,67.1990935878789,5188607.0,0.0542204242893
POL,Poland,2015,9.996041,Europe & Central Asia,26988.1069013509,11.9,100.0,89.981789775162,37986412.0,0.37971373179489204
PRT,Portugal,2015,6.502329,Europe & Central Asia,29608.0071513956,27.2,100.0,77.4088504318053,10358076.0,0.067351617959004
SVK,Slovak Republic,2015,7.453356,Europe & Central Asia,30147.9903672541,13.4,100.0,61.4679956079545,5423801.0,0.040425519726156
SVN,Slovenia,2015,8.179931,Europe & Central Asia,31336.2043858881,21.4,100.0,60.7201711919896,2063531.0,0.016879541196361
ESP,Spain,2015,7.110942,Europe & Central Asia,35228.6333036223,16.3,100.0,73.5325702286076,46422303.0,0.330106304139426
SWE,Sweden,2015,5.437399,Europe & Central Asia,48772.0696057277,51.9,100.0,28.0233212225209,9799186.0,0.053282084157214
CHE,Switzerland,2015,5.914449,Europe & Central Asia,65265.04573356,23.9,100.0,50.718459770259,8282396.0,0.048985808739804
TUR,Türkiye,2015,6.017152,Europe & Central Asia,25890.0548901058,13.3,100.0,87.4279766169034,78218479.0,0.470652477351808
GBR,United Kingdom,2015,7.837874,Europe & Central Asia,42515.278865824,7.7,100.0,80.0887890113877,65088000.0,0.510151542912
USA,United States,2015,20.65523,North America,56849.4697923159,8.9,100.0,82.3258162759788,321815121.0,6.64716534173283
DZA,Algeria,2015,5.177589,Middle East & North Africa,13807.3515841478,0.1,99.4,21.6261944417039,40019529.0,0.20720467313558102
ARG,Argentina,2015,7.907748,Latin America & Caribbean,19899.1499275245,9.4,99.7,56.2877376502912,43477012.0,0.343805254688976
BLR,Belarus,2015,9.338513,Europe & Central Asia,18133.5313085883,6.8,97.4,-1.22713201793634,9461076.0,0.08835238121998801
BRA,Brazil,2015,5.898276,Latin America & Caribbean,14821.4383175183,43.7,99.7,20.8080468349331,201675532.0,1.189537950182832
BRN,Brunei Darussalam,2015,26.25471,East Asia & Pacific,62707.8264437741,0.0,100.0,83.9758649172129,422212.0,0.011085053618519998
BGR,Bulgaria,2015,8.418443,Europe & Central Asia,18896.102861651,17.9,96.6,36.0044540423489,6984225.0,0.058796300061674994
CIV,Côte d’Ivoire,2015,1.878543,Sub-Saharan Africa,4403.64296618998,64.5,62.6,3.19031774476553,25246342.0,0.047426339039706
HRV,Croatia,2015,5.916793,Europe & Central Asia,23749.636747943,33.1,100.0,28.9491579322369,4151725.0,0.024564897417925
CUB,Cuba,2015,5.264931,Latin America & Caribbean,,21.1,99.0,14.3480911944304,11275065.0,0.05936243924551499
CYP,Cyprus,2015,6.822128,Europe & Central Asia,31380.19921875,10.4,100.0,90.7086388884335,1219502.0,0.008319598740256
EGY,Egypt,2015,3.355361,Middle East & North Africa,10903.3368231185,5.3,99.3,62.7106573100733,99597342.0,0.334185037050462
GEO,Georgia,2015,4.87484,Europe & Central Asia,12269.6528932768,27.5,100.0,73.9831016961049,3725276.0,0.018160124455839997
GHA,Ghana,2015,1.141843,Sub-Saharan Africa,5191.37053389659,44.0,74.0,52.7763309052231,28696068.0,0.032766404373324
GTM,Guatemala,2015,1.855356,Latin America & Caribbean,8934.00261178396,63.3,90.5,37.1328303046182,15971743.0,0.029633269205508
GNB,Guinea-Bissau,2015,0.7274069,Sub-Saharan Africa,1729.94260310123,87.2,20.1,,1786457.0,0.0012994811483533
GUY,Guyana,2015,6.085563,Latin America & Caribbean,11408.473901349,25.0,88.0,,758781.0,0.0046176095787029995
VAT,Holy See,2015,30.24434,Europe & Central Asia,,,,,,
IDN,Indonesia,2015,3.153344,East Asia & Pacific,10027.5372996025,26.6,97.5,54.3204501030138,261799249.0,0.825543091038656
KAZ,Kazakhstan,2015,20.38768,Europe & Central Asia,22484.3651382607,1.7,100.0,,18084169.0,0.36869425063792
KEN,Kenya,2015,1.18458,Sub-Saharan Africa,3678.32614146019,69.2,41.6,16.0446966269871,47088526.0,0.055780126129079996
LIE,Liechtenstein,2015,5.279607,Europe & Central Asia,,55.5,100.0,,37494.0,0.000197953584858
MYS,Malaysia,2015,10.1734,East Asia & Pacific,24526.3942716012,3.4,99.9,67.090436989764,31232798.0,0.31774374717320003
MDV,Maldives,2015,3.612897,South Asia,17875.0989419262,1.5,99.8,,428154.0,0.001546876302138
MLT,Malta,2015,4.82424,Europe & Central Asia,38368.7020383117,6.0,100.0,82.3987161613524,444220.0,0.0021430238928
MUS,Mauritius,2015,4.04746,Sub-Saharan Africa,20269.523509561,11.5,99.6,83.3412463635896,1262879.0,0.005111452237340001
MDA,Moldova,2015,4.00439,Europe & Central Asia,9197.61838204272,24.7,99.9,81.5491493364742,2835978.0,0.01135636194342
MCO,Monaco,2015,2.395645,Europe & Central Asia,,,100.0,,36757.0,8.805672326500001e-05
NAM,Namibia,2015,4.74826,Sub-Saharan Africa,10465.8920558516,29.3,51.6,75.6400926172033,2374300.0,0.011273793718
NPL,Nepal,2015,1.539005,South Asia,2957.30559145504,85.2,82.0,14.4302812274562,27823629.0,0.042820704149145
NGA,Nigeria,2015,1.524813,Sub-Saharan Africa,7307.83788188925,81.3,52.5,41.6855609438584,190671878.0,0.29073895830881397
PAN,Panama,2015,4.493486,Latin America & Caribbean,27245.2788402631,22.0,91.6,83.0773809320924,3960035.0,0.01779436183201
PER,Peru,2015,3.211313,Latin America & Caribbean,11600.3873992867,27.4,93.9,32.8482212292054,30457600.0,0.09780888682880001
ROU,Romania,2015,5.878012,Europe & Central Asia,21624.5618152909,23.7,98.8,39.0055100121455,19815616.0,0.116476428635392
RUS,Russia,2015,13.54438,Europe & Central Asia,23994.013671875,3.2,95.5,49.9404108669885,144640716.0,1.95906882097608
RWA,Rwanda,2015,0.8212945,Sub-Saharan Africa,1780.74171636863,86.3,22.8,0.0,11640022.0,0.009559886048479
SRB,Serbia,2015,8.753469,Europe & Central Asia,15546.298142138,21.2,99.9,64.5530819537914,7095383.0,0.06210921513362701
SGP,Singapore,2015,9.832285,East Asia & Pacific,87156.187383315,0.7,100.0,-48.6360699655692,5535002.0,0.05442171713957
SLB,Solomon Islands,2015,0.8123034,East Asia & Pacific,2353.78235283681,48.6,55.1,,639415.0,0.000519398978511
ZAF,South Africa,2015,9.035033,Sub-Saharan Africa,13397.5234813346,7.6,85.3,80.1018513142697,56723537.0,0.512499028671721
UKR,Ukraine,2015,7.093762,Europe & Central Asia,9921.833984375,4.2,100.0,65.6881469361533,45784896.0,0.324787155418752
UZB,Uzbekistan,2015,5.430871,Europe & Central Asia,6799.57332842183,1.7,99.9,,30749346.0,0.16699573146036598
VEN,Venezuela,2015,7.611277,Latin America & Caribbean,,15.4,100.0,3.02360811424354,30573972.0,0.232706969882244
AUS,Australia,2022,19.98485,East Asia & Pacific,66103.1797066957,,100.0,0.0,26018721.0,0.5199802363768501
AUT,Austria,2022,8.110068,Europe & Central Asia,72065.4974270106,,100.0,0.0,9041851.0,0.073330026455868
BEL,Belgium,2022,8.845402,Europe & Central Asia,69128.1388883843,,100.0,0.0,11680210.0,0.10331615289442
CAN,Canada,2022,18.02878,North America,63944.1050100687,,100.0,0.0,38935934.0,0.7019673881805201
CHL,Chile,2022,5.679356,Latin America & Caribbean,30932.0010873677,,100.0,0.0,19553036.0,0.111048652324816
CZE,Czechia,2022,10.72959,Europe & Central Asia,52946.9660854462,,100.0,0.0,10672118.0,0.11450745057162
DNK,Denmark,2022,7.198875,Europe & Central Asia,78913.6534913127,,100.0,0.0,5903037.0,0.042495225483375
EST,Estonia,2022,10.48012,Europe & Central Asia,48217.5523106028,,100.0,0.0,1348840.0,0.014136005060799999
FIN,Finland,2022,8.196082,Europe & Central Asia,62133.1375219912,,100.0,0.0,5556106.0,0.04553830037669201
FRA,France,2022,6.074304,Europe & Central Asia,57042.9449013772,,100.0,0.0,68184457.0,0.414173119892928
DEU,Germany,2022,8.905058,Europe & Central Asia,69048.9884036885,,100.0,0.0,83177813.0,0.7407032490781541
GRC,Greece,2022,7.468909,Europe & Central Asia,39612.4406377916,,100.0,0.0,10436882.0,0.077952121901738
HUN,Hungary,2022,6.167502,Europe & Central Asia,44365.9108128343,,100.0,0.0,9605074.0,0.059239313105147996
ISL,Iceland,2022,12.57169,Europe & Central Asia,75332.8528345867,,100.0,0.0,382003.0,0.00480242329507
IRL,Ireland,2022,11.53821,Europe & Central Asia,138522.517800204,,100.0,0.0,5212836.0,0.06014679646356
ISR,Israel,2022,8.936344,Middle East & North Africa,53619.0680995095,,100.0,0.0,9557500.0,0.08540910778000001
ITA,Italy,2022,6.91256,Europe & Central Asia,57260.8945372493,,100.0,0.0,59013667.0,0.40793551395752004
JPN,Japan,2022,8.91251,East Asia & Pacific,47192.0500603372,,100.0,0.0,125124989.0,1.1151777157123899
KOR,Korea,2022,13.98723,East Asia & Pacific,55509.3368761174,,100.0,0.0,51672569.0,0.72275610729387
LVA,Latvia,2022,5.372667,Europe & Central Asia,40558.7495841122,,100.0,0.0,1879383.0,0.010097299024461
LTU,Lithuania,2022,6.529821,Europe & Central Asia,50936.0049547442,,100.0,0.0,2831639.0,0.018490095806619
