"Country Name","Country Code","Year","average_value_Access to electricity (% of population)","average_value_Access to electricity, rural (% of rural population)","average_value_Access to electricity, urban (% of urban population)","average_value_Adjusted savings: energy depletion (% of GNI)","average_value_Adjusted savings: energy depletion (current US$)","average_value_Adjusted savings: mineral depletion (% of GNI)","average_value_Adjusted savings: mineral depletion (current US$)","average_value_Adjusted savings: natural resources depletion (% of GNI)","average_value_Alternative and nuclear energy (% of total energy use)","average_value_CO2 emissions from gaseous fuel consumption (% of total)","average_value_CO2 emissions from liquid fuel consumption (kt)","average_value_Combustible renewables and waste (% of total energy)","average_value_Electric power consumption (kWh per capita)","average_value_Electric power transmission and distribution losses (% of output)","average_value_Electricity production from coal sources (% of total)","average_value_Electricity production from hydroelectric sources (% of total)","average_value_Electricity production from natural gas sources (% of total)","average_value_Electricity production from nuclear sources (% of total)","average_value_Electricity production from oil sources (% of total)","average_value_Electricity production from oil, gas and coal sources (% of total)","average_value_Electricity production from renewable sources, excluding hydroelectric (% of total)","average_value_Electricity production from renewable sources, excluding hydroelectric (kWh)","average_value_Energy imports, net (% of energy use)","average_value_Energy intensity level of primary energy (MJ/$2011 PPP GDP)","average_value_Energy related methane emissions (% of total)","average_value_Energy use (kg of oil equivalent per capita)","average_value_Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)","average_value_Firms using banks to finance investment (% of firms)","average_value_Fossil fuel energy consumption (% of total)","average_value_Fuel exports (% of merchandise exports)","average_value_Fuel imports (% of merchandise imports)","average_value_GDP per unit of energy use (PPP $ per kg of oil equivalent)","average_value_GDP per unit of energy use (constant 2017 PPP $ per kg of oil equivalent)","average_value_Investment in energy with private participation (current US$)","average_value_Methane emissions in energy sector (thousand metric tons of CO2 equivalent)","average_value_Mineral rents (% of GDP)","average_value_Natural gas rents (% of GDP)","average_value_Nitrous oxide emissions in energy sector (% of total)","average_value_Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent)","average_value_Oil rents (% of GDP)","average_value_Ores and metals exports (% of merchandise exports)","average_value_Ores and metals imports (% of merchandise imports)","average_value_Pump price for diesel fuel (US$ per liter)","average_value_Pump price for gasoline (US$ per liter)","average_value_Renewable electricity output (% of total electricity output)","average_value_Renewable energy consumption (% of total final energy consumption)","average_value_Time required to get electricity (days)","average_value_Time to obtain an electrical connection (days)","average_value_Total natural resources rents (% of GDP)","average_value_Value lost due to electrical outages (% of sales for affected firms)"
"IDA only","IDX","1998","","","","1.2364230069881","","0.102906870456746","","3.71160327673456","2.05660172619184","22.028759447485","122981.576342499","57.1915739855567","162.165283851795","18.8502374840112","0.676560473312346","43.8856987905288","17.7291707557753","0","16.4925010838601","34.8982323129477","0.293628674267555","411000000","-8.82581803964057","","19.9173147898814","338.853000131142","194.439558682434","","28.8898322074896","","","3.69485246778023","5.1429863695239","","125740","0.211363940924472","0.0712282893629462","11.6845405048672","35410","1.62997075175503","","","0.365","0.52","56.1706315962509","77.7169743389054","","","7.58102323259075",""
"Isle of Man","IMN","2017","100","100","100","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","1.88160002231598","","","0",""
"Isle of Man","IMN","1975","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","0","","","","","","","","","","",""
"India","IND","2005","67.0934371948242","57.015292352079","91.488166809082","1.14848247589609","9348647353.79421","0.423136461886474","3444330799.75589","1.75069078149775","2.19468590160713","4.43685921212228","300011.938","29.9252537840026","468.025754019185","25.1655823468259","66.8596364733894","15.078473456521","10.5451501838872","2.42071609823714","3.54444034564092","80.9492270029176","1.54054461920252","11025000000","22.0526526294066","5.87751946572999","14.7385026479726","449.76585702652","138.589921719965","","65.9898036089149","10.4601583493885","32.880481984472","6.56588136421991","7.21553189142136","979440000","91560","0.83998267983767","0.130296170844466","6.41748244833383","12980","1.27830203489259","7.5598167974124","4.81607096908002","","","16.6190180757235","48.532398223877","","","3.55223038923989",""
"Iran, Islamic Rep.","IRN","1968","","","","","","","","","","3.68903524385903","36530.654","","","","","","","","","","","","","","","","","","","89.2544094588038","0.486760213837917","","","","","","","","","","0.509224755670673","1.86941535569923","","","","","","","",""
"Iraq","IRQ","1992","","","","","95536034.3833151","","0","","0.242050090169696","6.46989612702181","53640.876","0.0582486996333188","1310.45702976839","4.6798418972332","0","2.76679841897233","17.0474308300395","0","80.1857707509881","97.2332015810277","0","0","-21.6100355646507","10.3447612463955","9.50276243093923","1288.23028527274","371.504374612496","","99.6427126253645","","","2.74088407324711","2.69175834347326","","860","","","15.9090909090909","560","","","","","","2.76679841897233","0.490534585428941","","","",""
"Israel","ISR","2013","100","100","100","0.144989746998349","415749400.132945","0.0526139843394001","150867443.254169","0.197603731337749","4.96383476670684","19.6211865671642","22966.421","0.0379740908968487","6710.09367826788","4.18609960536186","52.3221682267376","0.0456606111998956","43.0155572225302","0","3.66100257656306","98.9987280258309","0.885489710055119","543000000","71.8329644938359","3.83693258945275","","2870.0987654321","78.0770169848866","46.4","96.5747145209958","1.57983966956452","20.2137183873629","11.8993481495814","12.8078663685828","","2370","0.0948577603030297","0.230268388845553","","180","0.0045615341489402","1.18202715323789","1.44514574910471","","","0.931150321255015","3.26600003242493","102","55.3","0.329848100538184","0.1"
"Jamaica","JAM","2003","86.672737121582","80.3411247420725","92.4158325195313","0","0","0.181482939608422","16097512.1323655","0.181482939608422","0.246926313874682","0","10139.255","7.62581194019087","2408.61758047241","8.67618247970893","0","1.63727959697733","0","0","97.4811083123426","97.4811083123426","0.881612090680101","63000000","89.341164225388","6.8936407488159","5.12820512820513","1371.58407020201","139.797857263284","","89.3411911344371","2.35339242140386","20.8596557955658","5.1445245871596","7.15318546060886","","60","0.966323422419722","0","8.92857142857143","50","0","67.4192690897854","0.49624600561871","","","2.51889168765743","8.18379974365234","","","1.06911353036411",""
"Cambodia","KHM","1997","","","","0","0","0","0","1.8652989322643","0","0","1466.8","73.0237607427832","24.2508050116678","13.8364779874214","0","0","0","0","100","100","0","0","18.4172374094133","9.64904166077226","9.89966555183947","266.841254761433","217.244431116017","","18.4172374094133","","","3.18559061354673","4.60310993871213","127000000","1480","0","0","7.79944289693593","280","0","","","","","0","82.196255995888","","","7.12815374914454",""
"Kiribati","KIR","2013","82.3173980712891","75.3605547706833","89.2946472167969","0","0","0","0","0","","0","51.338","","","","","","","","","","","","","4.92850777631089","","","","","","32.4586507967065","19.3531572078855","","","","0","0","0","","0","0","","0.824635147322294","","","0","44.5658988952637","97","","0.0552138962928736",""
