iso3,country_name_ghg,year,ghg_per_capita,region,gdp_per_capita_ppp,renewable_pct,electricity_access_pct,fossil_fuel_pct,log_gdp,energy_poverty_flag,green_by_choice_flag
BRA,Brazil,2015,5.898276,,14744.1136344696,43.7406005859375,99.710902,,4.168618669378199,0,1
BRN,Brunei Darussalam,2015,26.25471,,62540.6252209261,0.0148999998345971,100.0,,4.7961622185864945,0,0
BGR,Bulgaria,2015,8.418443,,18343.1107773187,17.8199005126953,100.0,,4.263472988850966,0,0
CIV,Côte d’Ivoire,2015,1.878543,,4652.88961920098,64.8336029052734,62.6,,3.6677227498596086,1,1
HRV,Croatia,2015,5.916793,,23005.1011419416,33.1091003417969,100.0,,4.361824146980974,0,1
CYP,Cyprus,2015,6.822128,,31815.1397351446,10.5434999465942,100.0,,4.502633835039442,0,0
EGY,Egypt,2015,3.355361,,11512.4021442637,5.11600017547607,99.3,,4.061165951705499,0,0
GEO,Georgia,2015,4.87484,,12089.1694050447,28.1485004425049,100.0,,4.082396463375465,0,1
GHA,Ghana,2015,1.141843,,5005.0162850438,44.0498008728027,74.1710510253906,,3.6994054949008826,1,1
GTM,Guatemala,2015,1.855356,,8194.44068126819,63.3911018371582,90.4963989257813,,3.913519315767574,0,1
GNB,Guinea-Bissau,2015,0.7274069,,1597.20425429364,87.1517028808594,20.1411075592041,,3.2033604583052897,1,1
GUY,Guyana,2015,6.085563,,11198.3015858384,24.9480991363525,88.0877990722656,,4.04915215947096,0,1
IDN,Indonesia,2015,3.153344,,10247.2063381531,26.9519004821777,97.5373674369822,,4.010605481265477,0,1
KAZ,Kazakhstan,2015,20.38768,,23224.1178353573,1.70659995079041,100.0,,4.365939226368038,0,0
KEN,Kenya,2015,1.18458,,3361.97713749708,72.032096862793,41.6,,3.5265947557742967,1,1
MYS,Malaysia,2015,10.1734,,24801.8884320151,3.40630006790161,100.0,,4.394484749551216,0,0
MDV,Maldives,2015,3.612897,,16768.8259801786,1.380499958992,99.7901611328125,,4.224502657825036,0,0
MLT,Malta,2015,4.82424,,37455.0705857175,6.00190019607544,100.0,,4.573510619854733,0,0
MUS,Mauritius,2015,4.04746,,19229.8354887211,11.4865999221802,99.429817199707,,4.28397556886426,0,0
MDA,Moldova,2015,4.00439,,9254.84860512976,24.722900390625,100.0,,3.9663693187675277,0,1
NAM,Namibia,2015,4.74826,,10633.2944166049,28.816499710083,51.6,,4.0266678388687405,1,1
NPL,Nepal,2015,1.539005,,2996.22046186766,85.0361022949219,83.5274658203125,,3.476573765586186,1,1
NGA,Nigeria,2015,1.524813,,5426.33278732294,82.303596496582,52.5,,3.734506424749222,1,1
PAN,Panama,2015,4.493486,,25319.2570478424,21.9006996154785,92.2937088012695,,4.403450957871531,0,1
PER,Peru,2015,3.211313,,11572.3207931902,27.4379997253418,93.852179,,4.063420464103262,0,1
ROU,Romania,2015,5.878012,,21605.8366788676,23.6928005218506,100.0,,4.334571088882826,0,1
RUS,Russia,2015,13.54438,,24085.3241847947,3.20029997825623,95.5,,4.3817524962273655,0,0
RWA,Rwanda,2015,0.8212945,,1804.54995234223,86.7220993041992,22.8,,3.2563689084106695,1,1
SRB,Serbia,2015,8.753469,,14928.408525228,21.3332004547119,99.9,,4.17401351130493,0,0
SGP,Singapore,2015,9.832285,,86974.7476230627,0.645099997520447,100.0,,4.939393177217612,0,0
SLB,Solomon Islands,2015,0.8123034,,2446.49919429778,48.6451988220215,55.1,,3.388545077070375,1,1
ZAF,South Africa,2015,9.035033,,12552.3396733784,10.2917003631592,85.3,,4.098724682991078,0,0
UKR,Ukraine,2015,7.093762,,10164.3273340852,4.14249992370605,100.0,,4.007078642712241,0,0
UZB,Uzbekistan,2015,5.430871,,6343.1497417051,1.67369997501373,100.0,,3.802304963837733,0,0
AUS,Australia,2018,22.44748,East Asia & Pacific,50252.8404567524,9.64500045776367,100.0,,4.701160614546846,0,0
AUT,Austria,2018,8.984918,Europe & Central Asia,57050.3513549091,33.8456001281738,100.0,,4.7562583234436,0,0
BEL,Belgium,2018,10.26945,Europe & Central Asia,52662.5329289973,10.6626996994019,100.0,,4.721501743692034,0,0
CAN,Canada,2018,20.0309,North America,50239.9910453428,22.1828994750977,100.0,,4.701049553321525,0,0
