iso3,country_name_ghg,year,ghg_per_capita,region,ghg_change_pct,ghg_change_abs
ISL,Iceland,2022,12.57169,Europe & Central Asia,-17.54,-2.551
IRL,Ireland,2022,11.53821,Europe & Central Asia,-15.24,-1.9
ISR,Israel,2022,8.936344,Middle East & North Africa,-14.39,-1.417
ITA,Italy,2022,6.91256,Europe & Central Asia,-9.39,-0.669
JPN,Japan,2022,8.91251,East Asia & Pacific,-18.35,-1.932
KOR,Korea,2022,13.98723,East Asia & Pacific,,
LVA,Latvia,2022,5.372667,Europe & Central Asia,-1.44,-0.077
LTU,Lithuania,2022,6.529821,Europe & Central Asia,-5.17,-0.341
LUX,Luxembourg,2022,12.57329,Europe & Central Asia,-39.89,-7.75
MEX,Mexico,2022,5.919702,North America,,
NLD,Netherlands,2022,8.550703,Europe & Central Asia,-28.47,-3.128
NZL,New Zealand,2022,15.19625,East Asia & Pacific,-19.84,-3.655
NOR,Norway,2022,8.954423,Europe & Central Asia,-19.28,-2.015
POL,Poland,2022,9.91145,Europe & Central Asia,-9.57,-0.95
PRT,Portugal,2022,5.402277,Europe & Central Asia,-16.21,-0.985
SVK,Slovak Republic,2022,6.731154,Europe & Central Asia,-10.69,-0.783
SVN,Slovenia,2022,7.355082,Europe & Central Asia,-13.66,-1.105
ESP,Spain,2022,6.111369,Europe & Central Asia,-17.83,-1.222
SWE,Sweden,2022,4.214768,Europe & Central Asia,-23.73,-1.309
CHE,Switzerland,2022,4.754273,Europe & Central Asia,-23.99,-1.45
TUR,Türkiye,2022,6.434767,Europe & Central Asia,14.43,0.866
GBR,United Kingdom,2022,5.954677,Europe & Central Asia,-31.67,-2.602
USA,United States,2022,18.5727,North America,,
DZA,Algeria,2022,5.281784,Middle East & North Africa,,
ARG,Argentina,2022,7.697249,Latin America & Caribbean,,
AZE,Azerbaijan,2022,7.256195,Europe & Central Asia,,
BLR,Belarus,2022,9.631652,Europe & Central Asia,-3.37,-0.333
BTN,Bhutan,2022,1.790353,East Asia & Pacific,,
BRA,Brazil,2022,5.865453,,,
BRN,Brunei Darussalam,2022,29.67097,,,
BGR,Bulgaria,2022,8.555132,,-15.79,-1.252
CIV,Côte d’Ivoire,2022,2.695429,,,
