iso3,country_name_ghg,year,ghg_per_capita,region,gdp_per_capita_ppp,renewable_pct,electricity_access_pct,fossil_fuel_pct
KAZ,Kazakhstan,2015,20.38768,,23224.1178353573,1.70659995079041,100.0,
KEN,Kenya,2015,1.18458,,3361.97713749708,72.032096862793,41.6,
LIE,Liechtenstein,2015,5.279607,,,55.530101776123,100.0,
MYS,Malaysia,2015,10.1734,,24801.8884320151,3.40630006790161,100.0,
MDV,Maldives,2015,3.612897,,16768.8259801786,1.380499958992,99.7901611328125,
MLT,Malta,2015,4.82424,,37455.0705857175,6.00190019607544,100.0,
MUS,Mauritius,2015,4.04746,,19229.8354887211,11.4865999221802,99.429817199707,
MDA,Moldova,2015,4.00439,,9254.84860512976,24.722900390625,100.0,
MCO,Monaco,2015,2.395645,,,,100.0,
NAM,Namibia,2015,4.74826,,10633.2944166049,28.816499710083,51.6,
NPL,Nepal,2015,1.539005,,2996.22046186766,85.0361022949219,83.5274658203125,
NGA,Nigeria,2015,1.524813,,5426.33278732294,82.303596496582,52.5,
PAN,Panama,2015,4.493486,,25319.2570478424,21.9006996154785,92.2937088012695,
PER,Peru,2015,3.211313,,11572.3207931902,27.4379997253418,93.852179,
ROU,Romania,2015,5.878012,,21605.8366788676,23.6928005218506,100.0,
RUS,Russia,2015,13.54438,,24085.3241847947,3.20029997825623,95.5,
RWA,Rwanda,2015,0.8212945,,1804.54995234223,86.7220993041992,22.8,
SRB,Serbia,2015,8.753469,,14928.408525228,21.3332004547119,99.9,
SGP,Singapore,2015,9.832285,,86974.7476230627,0.645099997520447,100.0,
SLB,Solomon Islands,2015,0.8123034,,2446.49919429778,48.6451988220215,55.1,
ZAF,South Africa,2015,9.035033,,12552.3396733784,10.2917003631592,85.3,
UKR,Ukraine,2015,7.093762,,10164.3273340852,4.14249992370605,100.0,
UZB,Uzbekistan,2015,5.430871,,6343.1497417051,1.67369997501373,100.0,
VEN,Venezuela,2015,7.611277,,,15.329400062561,100.0,
AUS,Australia,2018,22.44748,East Asia & Pacific,50252.8404567524,9.64500045776367,100.0,
AUT,Austria,2018,8.984918,Europe & Central Asia,57050.3513549091,33.8456001281738,100.0,
BEL,Belgium,2018,10.26945,Europe & Central Asia,52662.5329289973,10.6626996994019,100.0,
CAN,Canada,2018,20.0309,North America,50239.9910453428,22.1828994750977,100.0,
CHL,Chile,2018,5.672374,Latin America & Caribbean,24740.4961524432,25.4606990814209,100.0,
COL,Colombia,2018,3.619326,Latin America & Caribbean,14865.8932403218,30.7182006835938,98.5,
CRI,Costa Rica,2018,3.200677,Latin America & Caribbean,20994.3957642254,35.7047996520996,99.7,
CZE,Czechia,2018,11.98083,Europe & Central Asia,41134.0898758874,14.7252998352051,100.0,
DNK,Denmark,2018,8.580415,Europe & Central Asia,57462.7760122823,35.3287010192871,100.0,
EST,Estonia,2018,15.09539,Europe & Central Asia,36326.7982301075,28.8421993255615,100.0,
FIN,Finland,2018,10.1648,Europe & Central Asia,49755.1395203306,44.2167015075684,100.0,
FRA,France,2018,6.790996,Europe & Central Asia,46569.0197507959,15.2525997161865,100.0,
DEU,Germany,2018,10.22998,Europe & Central Asia,54954.8467481602,15.795599937439,100.0,
GRC,Greece,2018,8.667607,Europe & Central Asia,29680.9418343832,17.8591003417969,100.0,
HUN,Hungary,2018,6.668178,Europe & Central Asia,31831.9811391526,13.5340995788574,100.0,
ISL,Iceland,2018,14.01085,Europe & Central Asia,58222.338063421,78.2135009765625,100.0,
IRL,Ireland,2018,12.64129,Europe & Central Asia,84910.5524517801,10.7444000244141,100.0,
ISR,Israel,2018,9.441315,Middle East & North Africa,40343.0969507207,3.71539998054504,100.0,
ITA,Italy,2018,7.105342,Europe & Central Asia,43123.6057513919,17.0743007659912,100.0,
JPN,Japan,2018,9.639091,East Asia & Pacific,41695.6379442744,7.38770008087158,100.0,
KOR,Korea,2018,15.17932,East Asia & Pacific,42487.0419465669,3.18400001525879,100.0,
LVA,Latvia,2018,5.843408,Europe & Central Asia,30799.4284233858,41.2528991699219,100.0,
LTU,Lithuania,2018,6.951449,Europe & Central Asia,36346.3975289681,33.4990997314453,100.0,
LUX,Luxembourg,2018,17.40738,Europe & Central Asia,116644.848056492,16.0277004241943,100.0,
MEX,Mexico,2018,6.075221,North America,20257.8260935189,9.62530040740967,99.5,
NLD,Netherlands,2018,10.73006,Europe & Central Asia,57901.0970130477,7.38369989395142,100.0,
NZL,New Zealand,2018,16.9124,East Asia & Pacific,43930.881423072,31.0396003723145,100.0,
NOR,Norway,2018,9.944004,Europe & Central Asia,69710.484509237,60.8138008117676,100.0,
POL,Poland,2018,10.67059,Europe & Central Asia,31978.5311498844,11.2637996673584,100.0,
PRT,Portugal,2018,6.491846,Europe & Central Asia,34931.7846000824,27.6138000488281,100.0,
SVK,Slovak Republic,2018,7.707138,Europe & Central Asia,31505.0626312076,12.4203996658325,100.0,
SVN,Slovenia,2018,8.531396,Europe & Central Asia,38915.6419586224,21.0060997009277,100.0,
ESP,Spain,2018,6.955995,Europe & Central Asia,40720.1908040246,17.3889007568359,100.0,
SWE,Sweden,2018,5.05477,Europe & Central Asia,53553.312449047,52.4827995300293,100.0,
CHE,Switzerland,2018,5.508288,Europe & Central Asia,71705.6099676226,24.2031002044678,100.0,
TUR,Türkiye,2018,6.275307,Europe & Central Asia,27942.9558261698,11.8739995956421,100.0,
GBR,United Kingdom,2018,6.976843,Europe & Central Asia,47145.8840978145,11.0450000762939,100.0,
USA,United States,2018,20.15406,North America,63064.4184096728,10.1071996688843,100.0,
DZA,Algeria,2018,5.262534,Middle East & North Africa,11921.7253285832,0.193299993872643,99.6419219970703,
ARG,Argentina,2018,7.699173,Latin America & Caribbean,23305.847419406,10.5207996368408,100.0,
BLR,Belarus,2018,9.746824,Europe & Central Asia,19338.6664376772,7.21979999542236,100.0,
BRA,Brazil,2018,5.63276,,15020.4382238881,47.0616989135742,99.7,
BRN,Brunei Darussalam,2018,25.09908,,61839.1175656081,0.0109000001102686,100.0,
BGR,Bulgaria,2018,7.861728,,22911.2983540279,19.5275001525879,100.0,
CIV,Côte d’Ivoire,2018,1.710556,,5154.33170207433,63.532600402832,67.1723709106445,
HRV,Croatia,2018,6.123429,,28554.3891018959,32.8473014831543,100.0,
CUB,Cuba,2018,4.803382,,,20.8512992858887,99.5288009643555,
CYP,Cyprus,2018,6.939748,,40476.3862698991,12.1436004638672,100.0,
EGY,Egypt,2018,3.463126,,11639.2390898864,4.74440002441406,100.0,
GEO,Georgia,2018,4.652597,,14595.6306437119,27.9435997009277,99.9,
GHA,Ghana,2018,1.312229,,5302.2040053056,41.9766006469727,80.4,
GTM,Guatemala,2018,1.868301,,8665.34726097301,64.0977020263672,94.4130096435547,
GNB,Guinea-Bissau,2018,0.6934381,,1947.59676042334,86.7892990112305,28.5148296356201,
GUY,Guyana,2018,6.167833,,12777.1609714904,16.8080005645752,91.2374572753906,
VAT,Holy See,2018,29.40696,,,,,
IDN,Indonesia,2018,3.378282,,11644.7585390353,20.863899230957,98.51,
KAZ,Kazakhstan,2018,21.34503,,26157.6596496269,1.8555999994278,100.0,
KEN,Kenya,2018,1.223337,,4304.77163567309,72.2714996337891,61.4364166259766,
LIE,Liechtenstein,2018,4.732372,,,56.7998008728027,100.0,
MYS,Malaysia,2018,9.79379,,28219.8026138181,5.3105001449585,100.0,
MDV,Maldives,2018,4.197021,,19246.8074838403,1.11829996109009,100.0,
MLT,Malta,2018,4.165486,,44482.2396843652,7.46479988098145,100.0,
MUS,Mauritius,2018,4.478291,,22741.3513191773,9.19890022277832,99.4200668334961,
MDA,Moldova,2018,4.406259,,12659.983658527,25.7460994720459,99.99,
MCO,Monaco,2018,2.261659,,,,100.0,
MAR,Morocco,2018,2.586243,,7625.73575260725,10.8323001861572,98.1,
NAM,Namibia,2018,4.198732,,10334.5720485037,30.3269996643066,53.969539642334,
NPL,Nepal,2018,1.761065,,3864.32212409671,75.0397033691406,93.92,
NGA,Nigeria,2018,1.512795,,5278.84839470055,79.6541976928711,56.5,
PAN,Panama,2018,4.362435,,31757.561135057,24.4111995697021,94.94482421875,
PER,Peru,2018,3.189103,,13088.2958384558,27.8973999023438,95.2,
ROU,Romania,2018,6.048876,,29248.8093232601,23.0492992401123,100.0,
RUS,Russia,2018,14.07665,,28681.7844582961,3.18050003051758,100.0,
RWA,Rwanda,2018,0.7978748,,2138.89969873046,85.6945037841797,34.7422370910645,
SRB,Serbia,2018,9.022214,,17736.0068023489,21.1446990966797,100.0,
SGP,Singapore,2018,10.08684,,100581.158024992,0.727299988269806,100.0,
SLB,Solomon Islands,2018,0.8389294,,2762.41641187812,48.5018005371094,66.4730453491211,
ZAF,South Africa,2018,8.537099,,12931.1227644514,10.3432998657227,84.7,
UKR,Ukraine,2018,7.631061,,12634.2355540514,6.90729999542236,100.0,
UZB,Uzbekistan,2018,5.80262,,6917.6787960123,1.48749995231628,100.0,
VEN,Venezuela,2018,6.191895,,,14.5647001266479,99.9083023071289,
AUS,Australia,2014,22.74019,East Asia & Pacific,46880.2206571585,9.3169002532959,100.0,93.386835655426
AUT,Austria,2014,9.033319,Europe & Central Asia,48799.7154676985,35.790901184082,100.0,64.8131564661468
BEL,Belgium,2014,10.21425,Europe & Central Asia,44929.685593416,9.12479972839355,100.0,72.6525048356486
CAN,Canada,2014,20.97687,North America,45753.7505547994,22.4167995452881,100.0,73.1928743182183
CHL,Chile,2014,5.283227,Latin America & Caribbean,22786.642771331,26.9461002349854,100.0,73.2505438289352
COL,Colombia,2014,3.509622,Latin America & Caribbean,13307.4245015783,32.3832015991211,97.790938,76.685692626894
CRI,Costa Rica,2014,3.075124,Latin America & Caribbean,16067.3307687826,37.6165008544922,99.359291,49.8802727339625
CZE,Czechia,2014,11.91482,Europe & Central Asia,32502.4753540118,14.8607997894287,100.0,75.2785222475024
DNK,Denmark,2014,9.377474,Europe & Central Asia,47901.4473627066,30.2283992767334,100.0,67.7045581238811
EST,Estonia,2014,15.96656,Europe & Central Asia,29135.7051198125,25.4899005889893,100.0,14.4902911133818
FIN,Finland,2014,10.7283,Europe & Central Asia,41757.4021894413,41.2490997314453,100.0,42.1825267911597
FRA,France,2014,7.046576,Europe & Central Asia,40144.0268283679,13.3534002304077,100.0,46.2259230612383
DEU,Germany,2014,10.98049,Europe & Central Asia,47011.5510935131,14.0247001647949,100.0,79.7105269369918
GRC,Greece,2014,9.174307,Europe & Central Asia,26642.1050002364,16.4074001312256,100.0,86.0493171783821
HUN,Hungary,2014,6.00465,Europe & Central Asia,25642.5566762677,15.7227001190186,100.0,68.1924013959596
ISL,Iceland,2014,14.53881,Europe & Central Asia,45996.9687476901,76.4253997802734,100.0,10.9284872679796
IRL,Ireland,2014,12.47143,Europe & Central Asia,51154.4626833444,8.43910026550293,100.0,84.4375871556249
ISR,Israel,2014,9.849664,Middle East & North Africa,34266.995175409,3.70029997825623,100.0,91.7496360579347
ITA,Italy,2014,7.120819,Europe & Central Asia,36194.873918843,17.1315994262695,100.0,78.5864226219386
JPN,Japan,2014,10.5282,East Asia & Pacific,39179.155610609,5.71990013122559,100.0,94.4074689015954
KOR,Korea,2014,14.33164,East Asia & Pacific,35324.4976704773,2.86770009994507,100.0,82.3950038022924
LVA,Latvia,2014,5.373127,Europe & Central Asia,23803.8094030424,40.2352981567383,100.0,56.7174275733725
LTU,Lithuania,2014,6.594755,Europe & Central Asia,28184.4723303858,27.7318992614746,100.0,67.9937494705635
LUX,Luxembourg,2014,19.4309,Europe & Central Asia,101297.575745297,6.84619998931885,100.0,83.331752670447
MEX,Mexico,2014,6.141273,North America,18056.7898061476,9.75899982452393,99.172928,90.2784899713522
NLD,Netherlands,2014,10.9876,Europe & Central Asia,49233.2153954401,5.52650022506714,100.0,90.9218838570949
NZL,New Zealand,2014,18.4279,East Asia & Pacific,37293.3567850718,30.8206996917725,100.0,59.8468440526352
NOR,Norway,2014,10.45206,Europe & Central Asia,65892.6892787813,56.9207000732422,100.0,57.9782333483243
POL,Poland,2014,9.929695,Europe & Central Asia,25475.5046935928,11.5761003494263,100.0,90.0879642957879
PRT,Portugal,2014,6.078352,Europe & Central Asia,28742.4403783509,30.4589004516602,100.0,72.8127262997581
SVK,Slovak Republic,2014,7.319902,Europe & Central Asia,28996.8667929371,12.2419004440308,100.0,63.9460954273638
SVN,Slovenia,2014,8.093888,Europe & Central Asia,30870.0236667425,22.3006992340088,100.0,59.6632066816783
ESP,Spain,2014,6.857054,Europe & Central Asia,33525.7406299089,17.3747997283936,100.0,71.5311218481781
SWE,Sweden,2014,5.515628,Europe & Central Asia,47184.6691338182,49.543098449707,100.0,29.7747472651344
CHE,Switzerland,2014,6.044053,Europe & Central Asia,64103.0104476336,22.211799621582,100.0,48.741859877427
TUR,Türkiye,2014,5.997226,Europe & Central Asia,24090.2360374724,11.5132999420166,100.0,89.5439509012097
GBR,United Kingdom,2014,8.215401,Europe & Central Asia,41289.0758256899,7.36040019989014,100.0,82.7165784999401
USA,United States,2014,21.37271,North America,55049.9883272312,9.22049999237061,100.0,83.0890424221381
DZA,Algeria,2014,5.151576,Middle East & North Africa,13003.2667848382,0.0687000006437302,99.0740356445313,99.9779167201605
ARG,Argentina,2014,7.848993,Latin America & Caribbean,19683.7715056442,9.78139972686768,100.0,87.7224074796892
BLR,Belarus,2014,9.893406,Europe & Central Asia,18955.907025082,6.69199991226196,100.0,92.4403750165292
BRA,Brazil,2014,6.026185,,15718.5649500141,41.8292007446289,99.650247,59.1075326389753
BRN,Brunei Darussalam,2014,27.43803,,81371.2308691448,0.0140000004321337,100.0,99.9951884698856
BGR,Bulgaria,2014,7.927114,,17561.382132399,17.1172008514404,100.0,71.0459225220269
CIV,Côte d’Ivoire,2014,1.577156,,3127.48068718689,72.1634979248047,61.9,26.4923300237552
HRV,Croatia,2014,5.758433,,22060.7411314836,33.6200981140137,100.0,70.7036623421282
CUB,Cuba,2014,5.227796,,,22.4211006164551,98.4085464477539,85.5964145599651
CYP,Cyprus,2014,6.882424,,30080.3000080402,9.62689971923828,100.0,92.9062150260328
EGY,Egypt,2014,3.07912,,10895.9431672625,5.33799982070923,99.8,97.9289297878435
